id,division,round,visitorGoals,timestamp
832,1,24,2,68598000
833,1,24,1,68598000
834,1,24,0,68598000
835,1,24,0,68598000
836,1,24,1,68598000
837,1,25,0,69202800
838,1,25,0,69202800
839,1,25,2,69202800
840,1,25,1,69202800
841,1,25,0,69202800
842,1,25,0,69202800
843,1,25,1,69202800
844,1,25,3,69202800
845,1,25,0,69202800
846,1,26,0,69721200
847,1,26,1,69807600
848,1,26,0,69807600
849,1,26,1,69807600
850,1,26,1,69807600
851,1,26,0,69807600
852,1,26,0,69807600
853,1,26,0,69807600
854,1,26,2,69807600
855,1,27,1,70412400
856,1,27,1,70412400
857,1,27,1,70412400
858,1,27,0,70412400
859,1,27,1,70412400
860,1,27,1,70412400
861,1,27,0,70412400
862,1,27,0,70412400
863,1,27,0,70412400
864,1,28,0,71013600
865,1,28,0,71013600
866,1,28,0,71013600
867,1,28,0,71013600
868,1,28,0,71013600
869,1,28,0,71013600
870,1,28,0,71013600
871,1,28,1,71013600
872,1,28,0,71100000
873,1,29,1,71618400
874,1,29,0,71618400
875,1,29,0,71618400
876,1,29,0,71618400
877,1,29,0,71618400
878,1,29,0,71618400
879,1,29,0,71618400
880,1,29,0,71618400
881,1,29,1,71618400
882,1,30,0,72223200
883,1,30,1,72223200
884,1,30,0,72223200
885,1,30,0,72223200
886,1,30,1,72223200
887,1,30,1,72223200
888,1,30,1,72223200
889,1,30,0,72223200
890,1,30,0,72223200
891,1,31,0,72741600
892,1,31,2,72741600
893,1,31,1,72828000
894,1,31,1,72828000
895,1,31,0,72828000
896,1,31,0,72828000
897,1,31,0,72828000
898,1,31,0,72828000
899,1,31,0,72828000
900,1,32,2,73346400
901,1,32,0,73432800
902,1,32,0,73432800
903,1,32,1,73432800
904,1,32,1,73432800
905,1,32,2,73432800
906,1,32,0,73432800
907,1,32,0,73432800
908,1,32,1,73432800
909,1,33,1,73951200
910,1,33,2,73951200
911,1,33,1,74037600
912,1,33,1,74037600
913,1,33,0,74037600
914,1,33,1,74037600
915,1,33,1,74037600
916,1,33,0,74037600
917,1,33,0,74037600
918,1,34,1,74642400
919,1,34,1,74642400
920,1,34,3,74642400
921,1,34,2,74642400
922,1,34,0,74642400
923,1,34,0,74642400
924,1,34,1,74642400
925,1,34,1,74642400
926,1,34,1,74642400
927,2,1,0,52783200
928,2,1,0,52783200
929,2,1,0,52869600
930,2,1,0,52869600
931,2,1,1,52869600
932,2,1,1,52869600
933,2,1,0,52869600
934,2,1,1,52869600
935,2,1,1,52869600
936,2,1,1,52869600
937,2,2,1,53388000
938,2,2,1,53388000
939,2,2,0,53474400
940,2,2,1,53474400
941,2,2,0,53474400
942,2,2,0,53474400
943,2,2,0,53474400
944,2,2,0,53474400
945,2,2,3,53474400
946,2,2,0,53474400
947,2,3,1,53992800
948,2,3,0,54079200
949,2,3,1,54079200
950,2,3,1,54079200
951,2,3,0,54079200
952,2,3,0,54079200
953,2,3,1,54079200
954,2,3,0,54079200
955,2,3,0,54079200
956,2,3,2,54079200
957,2,4,1,54597600
958,2,4,2,54684000
959,2,4,0,54684000
960,2,4,0,54684000
961,2,4,2,54684000
962,2,4,3,54684000
963,2,4,1,54684000
964,2,4,1,54684000
965,2,4,1,54684000
966,2,4,0,54684000
967,2,5,1,55288800
968,2,5,0,55288800
969,2,5,1,55288800
970,2,5,0,55288800
971,2,5,2,55288800
972,2,5,1,55288800
973,2,5,0,55288800
974,2,5,0,55288800
975,2,5,1,55288800
976,2,5,0,55288800
977,2,6,1,55807200
978,2,6,0,55807200
979,2,6,0,55893600
980,2,6,0,55893600
981,2,6,2,55893600
982,2,6,1,55893600
983,2,6,0,55893600
984,2,6,4,55893600
985,2,6,2,55893600
986,2,6,1,55893600
987,2,7,2,56498400
988,2,7,1,56498400
989,2,7,0,56498400
990,2,7,2,56498400
991,2,7,0,56498400
992,2,7,0,56498400
993,2,7,0,56498400
994,2,7,0,56498400
995,2,7,0,56498400
996,2,7,0,56498400
997,2,8,2,57708000
998,2,8,1,57708000
999,2,8,1,57708000
1000,2,8,2,57708000
1001,2,8,1,57708000
1002,2,8,1,57708000
1003,2,8,0,57708000
1004,2,8,0,57708000
1005,2,8,0,57708000
1006,2,8,1,57708000
1007,2,9,0,58921200
1008,2,9,0,58921200
1009,2,9,1,58921200
1010,2,9,1,58921200
1011,2,9,0,58921200
1012,2,9,0,58921200
1013,2,9,0,58921200
1014,2,9,0,58921200
1015,2,9,0,58921200
1016,2,9,1,58921200
1017,2,10,0,59526000
1018,2,10,1,59526000
1019,2,10,1,59526000
1020,2,10,0,59526000
1021,2,10,0,59526000
1022,2,10,1,59526000
1023,2,10,0,59526000
1024,2,10,2,59526000
1025,2,10,1,59526000
1026,2,10,1,59526000
1027,2,11,0,60130800
1028,2,11,1,60130800
1029,2,11,0,60130800
1030,2,11,0,60130800
1031,2,11,0,60130800
1032,2,11,1,60130800
1033,2,11,0,60130800
1034,2,11,0,60130800
1035,2,11,0,60130800
1036,2,11,0,60130800
1037,2,12,0,60735600
1038,2,12,2,60735600
1039,2,12,1,60735600
1040,2,12,0,60735600
1041,2,12,0,60735600
1042,2,12,0,60735600
1043,2,12,0,60735600
1044,2,12,1,60735600
1045,2,12,0,60735600
1046,2,12,3,60908400
1047,2,13,0,61340400
1048,2,13,1,61340400
1049,2,13,0,61340400
1050,2,13,2,61340400
1051,2,13,0,61340400
1052,2,13,0,61340400
1053,2,13,0,61340400
1054,2,13,2,61340400
1055,2,13,1,61340400
1056,2,13,0,61340400
1057,2,14,0,61945200
1058,2,14,0,61945200
1059,2,14,3,61945200
1060,2,14,0,61945200
1061,2,14,1,61945200
1062,2,14,1,61945200
1063,2,14,1,61945200
1064,2,14,0,61945200
1065,2,14,0,61945200
1066,2,14,0,61945200
1067,2,15,0,76197600
1068,2,15,0,76197600
1069,2,15,2,76197600
1070,2,15,0,76197600
1071,2,15,0,76197600
1072,2,15,1,76197600
1073,2,15,1,76197600
1074,2,15,1,76197600
1075,2,15,5,76197600
1076,2,15,0,76197600
1077,2,16,0,63068400
1078,2,16,0,63154800
1079,2,16,2,63154800
1080,2,16,1,63154800
1081,2,16,3,63154800
